Control,ash-2,prx-5,fat-2,fat-7,plin-1,hosl-1,atgl-1,spas-1,pmp-4,lpin-1,seip-1,acs-4,acs-22,fitm-2,dgat-2,acs-5,acs-13,acs-17,prx-19,Y7A5A.1,syx-5,alh-4,rab-7,prx-11,spg-20,ads-1,ctl-3,tomm-22,sod-1,fard-1,snx-13,mctp-1,faah-4,acdh-1,ech- 1,F46H5.3,dhs-9,dhs-4,dhs-19,tkt1,cgi-58,acdh-12,F13D12.9,dhs-28,spl-1,gpx-1,ftn-1 ,maoc-1,lpd-5,daf-22,T25G3.4,gpx-1(tm2100) mutant,hlh-2 RNAi,hlh-3 RNAi,nhr-64 RNAi,Y44A6D.3 RNAi,hlh-11 RNAi,nhr-49 RNAi,nhr-62 RNAi,nhr-79 RNAi,sbp-1 RNAi,C25H3.11-vps13d RNAi
0.4309076,1.84873262,2.05369128,1.89043336,0.84791496,1.44993664,0.97827023,1.10795467,1.83882521,2.78868195,0.17647059,0.69620637,1.205298,0.615894,1.403974,1.701987,0.410596,1.715232,0.788079,1.7981521,0.36247335,0.15636105,1.0021322,0.34115139,0.29140014,0.47619048,0.19113814,0.99044309,0.71242398,0.23457863,0.59947871,0.72980017,0.80799305,0.72980017,0.72834646,1.03346457,1.44685039,1.66338583,0.76771654,1.19094488,0.22637795,0.87598425,0.56102362,1.080366,0.231507,1.04729357,0.926028,0.98114872,0.63940029,0.74964172,0.51813472,0.72759343,0.662623199,1.498104625,1.368460955,1.627748294,1.901440485,0.302501895,0.16,0.48,0.628571429,0.728372093,2.304577
1.75143091,1.6263287,1.81208054,1.55682747,0.37530662,0.9619772,0.81124849,1.99431841,1.15687679,1.92406877,0.57983193,0.65857359,1.463576,0.880795,1.417219,0.15894,0.933775,1.960265,1,0.85998579,1.49964463,0.43354655,0.50461976,0.29140014,0.5899076,1.12295665,0.40834057,0.85143354,0.6429192,0.11294526,0.48653345,0.56472632,1.13814075,0.59947871,0.66929134,1.41732283,1.41732283,0.57086614,0.7480315,1.14173228,0.66929134,0.6003937,1.14173228,0.17638629,0.16536214,0.25355529,0.90397972,1.11343843,1.36699372,0.57325543,0.35277257,1.33392129,1.987869598,0.878695982,1.296436694,1.339651251,1.829416224,0.129643669,0.342857143,0.742857143,0.868571429,0.633953488,2.110915
1.45952576,3.12755519,2.31543625,1.1676206,1.75945017,2.66286441,0.99020036,1.09318194,2.32593123,1.20558739,0.06722689,1.51471927,1.317881,1.344371,1.463576,1.02649,0.768212,1.635762,0.251656,0.44776119,0.46908316,0.16346837,0.43354655,0.2771855,1.23667377,0.68230277,0.24326672,0.54735013,0.83405734,0.15638575,1.38140747,0.35621199,1.52910513,0.13900956,0.86614173,2.15551181,1.06299213,0.94488189,0.80708661,1.98818898,0.29527559,0.6496063,2.05708661,0.37482086,0.18741043,0.40789329,0.154338,0.463014,1.19060743,1.389042,0.39686914,0.50711057,1.022744503,1.584533738,1.195602729,1.555724033,0.662623199,0.504169826,0.205714286,0.674285714,0.662857143,0.391162791,2.294894
1.70973017,1.1954211,2.04362417,1.88316151,1.31958763,1.78453741,1.71793797,2.6000003,2.02148997,1.14469914,0.6366986,0.11289833,1.397351,1.516556,1.887417,0.781457,0.337748,1.463576,1.10596,0.77469794,1.0021322,0.24875622,0.40511727,0.11371713,0.36958067,1.08031272,0.09556907,0.20851434,0.55603823,0.48653345,0.27801911,1.48566464,1.57254561,0.37358818,0.27559055,1.73228346,1.1515748,1.45669291,1.79133858,1.50590551,0.11811024,1.38779528,0.73818898,0.36379671,0.154338,0.45198986,0.81578657,0.41891743,1.64259729,0.59530372,0.76066586,0.85988314,0.73464746,0.777862017,0.677028052,2.362395754,0.921910538,0.518574678,0.034285714,1.142857143,1.051428571,0.499069767,2.34331
1.15372036,1.26492232,1.26845638,3.40893471,2.24054983,2.95564008,0.93054973,1.46250017,0.98638968,2.24068768,0.36551216,1.06312594,0.900662,1.152318,0.980132,0.768212,0.311258,1.403974,1.410596,1.71286425,0.23454158,0.12793177,0.92395167,0.39090263,1.16560057,0.38379531,0.19113814,0.92962641,1.40747176,0.58210252,0.30408341,0.72980017,1.03388358,0.46915725,0.44291339,1.65354331,0.12795276,0.5019685,1.06299213,1.38779528,0.1476378,1.30905512,1.61417323,0.94807629,0.39686914,0.50711057,0.90397972,0.74964172,0.56223129,0.73861757,0.81578657,0.67247272,1.339651251,0.518574678,0.691432904,0.230477635,0.172858226,0.590598939,0.354285714,0.422857143,0.948571429,0.64744186,2.314261
1.6263287,3.01635323,1.46979866,3.25773196,1.11340206,1.21292777,2.7916492,2.49659119,0.43839542,1.92406877,0.10611643,0.30106221,0.887417,0.642384,1.562914,1.304636,0.245033,1.172185,1.145695,1.27221038,0.73916134,0.2061123,0.46908316,0.91684435,0.18479033,0.86709311,0.22589053,0.49522155,0.70373588,0.66898349,0.27801911,0.77324066,0.50390964,1.58123371,1.93897638,0.5511811,1.30905512,0.73818898,1.40748031,0.47244094,0.43307087,0.41338583,1.55511811,1.09139014,0.37482086,0.89295557,1.53235586,2.06151472,1.22367986,0.47403814,0.95910043,0.34174843,0.893100834,1.152388173,1.051554208,1.642153146,0.475360121,1.613343442,0.457142857,0.948571429,1.051428571,0.269767442,1.539613
0.48650859,2.02943581,0.65436242,2.1580756,1.58075601,2.34220535,3.04218182,1.83181839,1.27865329,2.63037249,0.86072218,0.08467375,1.119205,0.933775,1.264901,1.311258,0.410596,0.933775,1.172185,0.88130775,0.44065387,0.8315565,1.0021322,0.7604833,0.66808813,0.76759062,0.45178106,0.37358818,1.03388358,0.12163336,0.59079062,0.59947871,2.04170287,0.38227628,0.45275591,0.80708661,0.85629921,0.91535433,0.76771654,0.37401575,0.12795276,2.07677165,0.42322835,1.51030757,0.87090729,0.36379671,1.36699372,0.81578657,1.697718,1.43313857,0.50711057,0.56223129,0.561789234,0.893100834,1.109173616,1.253222138,1.152388173,0.648218347,0.045714286,1.325714286,1.142857143,2.819069767,1.636444
1.59450172,1.615894,1.08724833,2.92783505,1.49828179,1.75665401,1.76565847,1.1227274,0.66977077,3.16618911,0.34193073,0.26342944,1.536424,1.006623,1.602649,1.715232,0.192053,0.953642,0.536424,0.97370291,0.3127221,0.22032694,0.68230277,0.60412225,1.03056148,0.88841507,0.3127715,1.55516942,1.64205039,0.50390964,0.38227628,2.11120765,0.55603823,0.61685491,0.22637795,1.03346457,0.91535433,1.3484252,1.26968504,0.5019685,0.72834646,0.85629921,1.03346457,0.97012457,0.60632786,0.56223129,0.50711057,1.53235586,0.67247272,1.01422114,0.26457943,0.93705214,1.310841547,0.417740713,0.432145565,1.166793025,1.109173616,1.181197877,0.377142857,0.777142857,1.337142857,0.633953488,0.958627
1.14089347,1.536424,0.8557047,2.08934708,1.14089347,1.64512042,1.51512585,0.98977284,1.80229226,1.72922636,0.51879145,0.95022761,1.192053,1.350993,0.556291,0.761589,0.562914,1,0.503311,0.98791756,0.95948827,0.46197584,0.88130775,0.30561478,0.2771855,1.14427861,0.19113814,0.68635969,1.80712424,0.79061685,0.10425717,0.23457863,0.72111208,1.45960035,0.6496063,0.96456693,1.76181102,1.70275591,1.31889764,1.9488189,0.12795276,1.07283465,1.31889764,0.41891743,0.56223129,0.617352,0.540183,1.64259729,1.19060743,0.76066586,1.33392129,1.05831772,0.619408643,1.282031842,0.965125095,0.677028052,1.39727066,1.022744503,0.194285714,1.131428571,0.902857143,0.269767442,1.888204
0.98969072,2.364238,0.97651007,1.40206186,0.48109966,1.01774399,0.58457611,1.46250017,1.18123209,1.77793696,0.12969786,0.44218513,1.298013,1.735099,1.443709,1.278146,1.18543,1.331126,0.708609,0.44065387,1.43567875,0.34825871,0.99502488,0.33404407,0.64676617,1.44278607,1.24239791,1.19895743,1.14682884,0.35621199,1.20764553,1.16420504,0.51259774,0.89487402,1.09251969,0.65944882,0.15748031,1.25984252,,0.28543307,0.22637795,2.4015748,0.76771654,0.56223129,1.311873,0.077169,0.97012457,0.58427957,0.73861757,1.26777643,0.65042443,0.34174843,0.691432904,,0.648218347,1.454890068,0.605003791,1.325246399,0.194285714,,0.982857143,0.701395349,1.820423
