Control,ash-2,prx-5,fat-7,plin-1,hosl-1,fat-2,spas-1,atgl-1,pmp-4,lpin-1,seip-1,dhs-3,acs-4,acs-22,fitm-2,dgat-2,acs-5,acs-13,acs-17,prx-19,Y7A5A.1,syx-5,alh-4,rab-7,prx-11,spg-20,ads-1,ctl-3,tomm-22,sod-1,fard-1,snx-13,mctp-1,faah-4,acdh-1,ech- 1,F46H5.3,dhs-9,dhs-4,dhs-19,tkt1,cgi-58,acdh-12,F13D12.9,dhs-28,spl-1,gpx-1,ftn-1,maoc-1,lpd-5,daf-22,T25G3.4,gpx-1(tm2100) mutant,hlh-2 RNAi,hlh-3 RNAi,nhr-64 RNAi,Y44A6D.3 RNAi,hlh-11 RNAi,nhr-49 RNAi,nhr-62 RNAi,nhr-79 RNAi,sbp-1 RNAi,C25H3.11-vps13d RNAi
0.663972,2.072748,0.1097,0.750577,1.639723,2.257506,1.645497,0.825635,1.339492,1.154734,0.502309,1.339492,1.090366,0.978342,1.20239,0.713219,0.679612,0.548917,1.056759,0.575056,1.14820249,1.35363169,0.64563463,0.82538518,0.99413059,0.89141599,0.42920029,0.91697646,0.51631557,1.0243701,0.48327138,0.4874019,0.755886,0.9582817,0.76414705,1.11772206,0.59498513,1.10072248,1.27071823,0.96897578,1.45771356,0.74373141,1.66595835,0.75223119,0.61465721,0.40661939,0.73286052,0.67612293,1.24349882,1.09219858,1.05437352,0.56737589,0.6713948,1.460034305,0.299330445,0.535643954,1.630563214,0.433241434,0.283576211,0.360116874,1.059167275,0.624908692,0.606861382,0.133581606
0.975751,1.200924,0.028868,0.421478,1.120092,1.737875,2.072748,1.379908,1.322171,1.333718,0.473441,1.633949,1.235997,0.941001,0.735624,1.198656,1.235997,0.96714,1.168783,0.799104,0.89141599,1.37564197,0.41819516,0.44387381,1.22157007,0.56859868,1.39031548,0.54109872,0.47501033,0.56588187,0.40479141,0.83436596,0.63610078,1.24741842,0.62783974,1.36421589,0.85422864,1.16447089,1.1559711,0.82872928,1.10072248,0.90522737,1.27921802,1.24521887,1.13947991,0.42080378,1.00236407,0.58156028,1.18676123,0.72813239,0.80378251,0.66666667,1.01654846,1.909777015,1.039779441,1.283970067,0.559275305,0.488381252,0.448995668,0.863221329,0.942658875,1.022096421,0.350486787,0.347312176
1.235566,1.431871,0.461894,1.657044,1.662818,2.407621,1.951501,2.032333,0.646651,1.275982,0.06351,1.229792,1.064227,1.060493,0.85885,0.877521,1.396565,0.57879,1.198656,0.713219,0.7190022,1.31327953,0.2054292,0.28980191,1.33162142,0.59427733,0.92076302,1.2432879,0.99958695,0.88393226,1.15241636,0.52870715,1.26807105,1.25567947,0.23957043,0.59073523,1.02422439,1.59796005,1.24096898,1.63620909,1.31321717,0.53548661,0.86697833,1.04547386,1.19621749,0.63829787,1.05910165,0.69503546,0.63829787,0.643026,0.74231678,0.97399527,1.40425532,0.638765009,1.228830248,1.134304844,1.173690429,0.535643954,0.425364317,0.571950329,1.101533966,1.339846603,0.493277701,0.625161917
0.790993,1.882217,0.057737,0.658199,1.397229,1.887991,1.293303,0.987298,1.258661,1.489607,1.755196,0.750577,0.784167,0.787901,1.0941,1.247199,0.989544,1.295743,1.486184,0.982076,0.56859868,0.93176816,0.24211299,0.74468085,1.18855466,0.79603815,0.94644167,0.7724081,0.41718298,0.79306072,0.4543577,0.95415118,1.32589839,0.82610492,0.79719124,1.16447089,1.12197195,1.07947301,0.74373141,0.97747556,1.32171696,1.05397365,1.21546961,1.45346366,0.96926714,0.46808511,0.91252955,1.05910165,0.93144208,0.8179669,1.14420804,0.6572104,0.75177305,1.34922813,1.19732178,1.417881056,1.496652225,0.559275305,0.685309177,0.233016801,1.509313367,1.170379839,0.597125637,0.518296632
1.252887,1.691686,0.635104,0.548499,1.287529,0.744804,1.466513,1.524249,1.374134,1.408776,0.479215,1.47806,0.705751,1.03062,1.060493,1.090366,0.664675,0.481703,0.941001,1.101568,0.50256787,1.25825385,0.45487894,0.63829787,1.69845928,0.44387381,1.04915627,0.92523751,1.31350682,0.90045436,0.92110698,0.65262288,1.25154895,1.09458901,0.66088393,0.97322567,1.17722057,1.43221419,1.05397365,1.12622184,1.65745856,0.98597535,1.44071398,1.9719507,1.4893617,0.57683215,1.17257683,0.66193853,1.21985816,0.58628842,0.85106383,0.57683215,0.60520095,0.945111492,0.409610083,0.716817645,1.047656558,0.126033872,0.165419456,0.725529584,0.529583638,1.255113221,0.506258693,0.593102332
0.73903,1.374134,0.438799,0.277136,0.271363,1.13164,2.061201,0.935335,0.860277,1.41455,0.513857,0.941109,1.351755,0.702016,1.232263,1.187453,0.604929,0.511576,1.004481,0.664675,0.513573,0.58694057,0.22010271,0.82905356,1.51870873,1.06016141,1.24724872,0.7063197,1.11524164,0.55349029,0.85914911,0.73110285,0.61957869,0.87567121,1.33002891,1.24946876,1.58946026,1.67445814,1.41946451,0.66298343,1.71695708,0.4759881,1.22821929,0.86272843,0.47281324,0.69503546,0.83687943,1.37115839,0.93144208,1.21985816,1.01182033,0.83687943,0.6855792,0.736535163,0.890114218,1.606931863,0.567152422,0.496258369,0.543521071,0.323046019,0.683162893,1.011504748,0.486787204,0.726683938
0.969977,1.680139,0.069284,0.334873,1.322171,2.090069,1.437644,1.218245,0.790993,1.512702,2.113164,1.431871,0.586258,1.105302,1.183719,1.150112,1.026886,0.754294,1.034354,0.836445,1.25458547,0.86206897,0.8217168,0.40719002,1.2839325,0.44754219,0.85473221,0.82197439,0.63610078,0.69805865,0.62370921,0.76001652,0.93349855,0.85088806,0.36761669,0.4079898,1.82320442,1.14747131,1.73820654,1.24096898,1.0879728,0.60773481,1.14747131,0.84147896,0.8321513,0.97399527,1.1678487,1.23404255,1.3286052,0.89834515,0.49172577,1.24349882,1.42789598,0.573584906,1.961402127,0.992516739,0.992516739,0.354470264,0.488381252,0.587837838,1.165084003,0.630204529,0.525730181,0.411431347
1.212471,1.830254,0.017321,0.525404,1.287529,2.453811,1.501155,1.091224,1.385681,1.322171,0.606236,1.079677,0.421957,0.843913,1.325616,1.530993,0.530246,0.265123,0.754294,0.993279,0.49889949,0.88041086,0.41819516,0.48422597,1.06749817,0.68598679,1.10418195,0.93349855,1.04502272,1.14415531,0.17761256,0.82197439,0.92523751,0.87154069,0.31391987,1.04547386,1.4279643,1.05397365,1.43221419,0.90097748,1.31321717,1.29621759,1.12197195,1.43221419,0.29787234,0.95981087,1.26241135,1.16312057,1.72576832,0.57683215,1.24822695,0.92671395,0.98817967,0.925557461,1.937770776,0.567152422,1.024025207,0.472627019,0.236313509,0.630204529,0.476625274,1.159788167,0.606861382,0.293879534
1.275982,1.737875,0.51963,0.236721,1.235566,0.750577,2.274827,1.616628,1.027714,1.299076,0.692841,1.270208,0.332338,1.26587,1.000747,1.321882,1.060493,0.519044,1.228529,0.92233,0.38884813,0.83272194,0.65663977,0.70799707,1.04915627,0.55392517,0.75935437,0.95002065,1.32589839,1.2432879,0.59892606,0.86741016,0.9748038,1.0243701,1.03263114,1.25796855,1.72120697,0.97747556,1.1559711,1.02422439,1.36421589,0.89672758,0.99022524,0.81172971,0.87943262,0.45862884,1.29078014,0.9929078,0.8321513,1.07801418,0.89834515,0.55319149,0.4822695,1.935849057,,0.890114218,0.638046475,0.378101615,0.299330445,0.61431702,1.355734112,1.572863404,0.46082522,0.619818653
1.154734,2.315242,0.202079,0.606236,1.437644,0.773672,1.258661,1.772517,0.069284,1.47806,1.039261,1.887991,0.492905,1.187453,0.817774,0.459298,0.892457,0.492905,1.333084,0.698282,0.43653705,0.89875275,0.46955246,0.5649303,1.5077036,0.96478357,0.97945708,0.71871128,1.38785626,0.65262288,0.59479554,0.53283767,0.95415118,1.15241636,0.755886,0.4079898,1.59796005,1.05397365,1.45771356,,1.47896303,0.42073948,0.66723332,0.56523587,0.4964539,0.45390071,0.8321513,0.74231678,0.86052009,0.74704492,0.643026,0.6572104,0.643026,0.906003431,,1.898385191,0.433241434,0.283576211,0.173296573,0.312454346,0.815558802,1.752921841,0.467315716,0.438147668
