LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,CalcMz,IonFormula,GroupArea[c],GroupHeight[c],GroupTopPos[c],ASH10,ASH14,ASH18,ASH2,ASH22,ASH6,EV1,EV13,EV17,EV21,EV5,EV9,P-A11,P-A15,P-A19,P-A23,P-A3,P-A7,PRX12,PRX16,PRX20,PRX24,PRX4,PRX8,QC_MSMS,blank,,Filename,dLPC-,dLPE-,dPI-,dPS-,dPG-,dCer-,dPC-,dPE-
MLCL(20:4/20:3/20:4)-H,MLCL,(20:4/20:3/20:4),(20:4),(20:3),(20:4),,1259.75094,C69 H113 O16 P2,4696617.372,421396.8442,18.301,9775442.131,7193298.768,6516348.775,1.00E+07,7482044.162,1.27E+07,6966203.171,347197.5063,8536917.616,114212.076,19803.2679,7892787.194,2824323.426,3500139.091,1141199.701,2975155.792,3330431.406,2793212.997,2921344.327,1989457.827,1461522.845,1701624.3,7072461.86,903555.128,7150109.07,0,,,,,,,,,,
MLCL(20:4/20:4/20:4)-H,MLCL,(20:4/20:4/20:4),(20:4),(20:4),(20:4),,1257.73529,C69 H111 O16 P2,650528.341,105719.9023,17.762,354499.8033,63621.3606,39401.7801,41083.7847,202973.2476,146560.4838,56801.571,26423.1801,55895.2086,1.08E+07,40620.9807,37629.6267,18276.84,19442.8317,11999.6355,100468.282,17354.6316,16353.2997,39015.6966,127512.342,269215.538,1419.5241,40703.7669,206265.183,4583460.972,0,,,,,,,,,,
PA(17:1/18:1)-H,PA,(17:1/18:1),(17:1),(18:1),,,685.4813815,C38 H70 O8 N0 P1,6683225.27,285612.9855,17.707,1.25E+07,8367692.498,6704697.477,1.10E+07,8109843.487,1.54E+07,6242844.703,1.60E+07,9172887.608,7990844.718,2573317.257,1.30E+07,2851170.533,4174651.945,2747558.091,2882273.85,2796000.372,3550189.273,4654523.62,3078049.783,5050341.504,4404540.265,9903439.82,4343047.172,5164410.583,3566.541,,,,,,,,,,
PA(17:1/18:2)-H,PA,(17:1/18:2),(17:1),(18:2),,,683.4657315,C38 H68 O8 N0 P1,116118.9708,64546.78026,17.056,45823.245,24323.7237,33071.7486,112678.3221,73461.7107,55315.5546,567467.407,112072.4217,154414.6098,18262.5621,38076.7767,12822.5481,26147.13,14088.3339,15960.081,7910.6985,16422.9186,8775.162,12012.939,7677.0135,24436.4337,61695.5874,7358.454,37411.4859,1594275.528,0,,,,,,,,,,
PA(15:0/20:5)-H,PA,(15:0/20:5),(15:0),(20:5),,,679.4344315,C38 H64 O8 N0 P1,2193040.013,162877.3198,15.61,5666038.973,3486502.746,2683880.836,4186735.207,2376483.231,6963781.671,2499924.438,3812305.501,3158949.072,4295397.476,2963882.436,43741.6359,1197958.664,15333.0252,548984.383,1079265.102,1030634.507,1276959.092,5619.8283,1488.261,987531.186,19340.0535,2637962.344,1344297.913,2674366.639,0,,,,,,,,,,
PA(18:1/18:1)-H,PA,(18:1/18:1),(18:1),(18:1),,,699.4970315,C39 H72 O8 N0 P1,1086446.937,88750.20461,18.191,7389331.814,78062.4795,51238.5516,1.07E+07,31958.2782,21305.6079,32732.4534,70090.3005,21224.943,127029.9693,48683.5479,27626.1459,3571.6584,18201.7926,9694.17,24229.4826,39248.1243,85044.5157,40722.3756,57618.0885,9668.0199,39061.4553,316559.5983,22032.0855,4228518.442,4003.549,,,,,,,,,,
PA(18:1/18:2)-H,PA,(18:1/18:2),(18:1),(18:2),,,697.4813815,C39 H70 O8 N0 P1,1222903.303,130035.6341,17.249,7704801.53,116317.5699,30430.0617,76367.5203,25870.5051,21684.7905,17160.3828,8592777.632,6277585.721,5569896.966,52666.4655,49928.5854,8228.9757,1259376.61,24664.6542,48455.1354,78158.063,17598.513,2070006.039,20860.7826,32518.4205,29283.1881,52919.6019,24932.7822,686019.8814,0,,,,,,,,,,
PA(18:1/18:2)-H,PA,(18:1/18:2),(18:1),(18:2),,,697.4813815,C39 H70 O8 N0 P1,43489.43677,49100.80519,17.488,57005.5365,9246.9237,21841.8699,43612.662,20798.0535,22624.5063,40974.5208,54113.0835,26955.4587,20116.9125,58399.0089,36313.584,5091.8685,14932.2675,39569.517,4238.187,48289.9176,19103.43,24321.0108,36883.0971,21209.8743,34109.1741,26220.2895,9783.2805,437916.9495,0,,,,,,,,,,
PA(18:3/18:2)-H,PA,(18:3/18:2),(18:3),(18:2),,,693.4500815,C39 H66 O8 N0 P1,21833.71723,24305.59248,15.886,19633.0473,46713.9987,18363.2157,23323.0422,28263.8997,16950.5805,35800.7697,20270.3994,10806.1218,16937.7156,12884.6562,18119.8233,2953.2774,8678.4537,5019.4584,5843.4408,6751.6416,1799.691,16230.4956,4587.7704,5600.0187,39380.855,9575.9529,26247.3492,152714.6676,0,,,,,,,,,,
PA(16:1/20:5)-H,PA,(16:1/20:5),(16:1),(20:5),,,691.4344315,C39 H64 O8 N0 P1,28399.04896,20697.38563,15.2,22927.0332,8188.389,5900.4246,12636.4308,14046.1902,58082.4591,25687.9743,9817.2795,11965.4115,9378.6966,19659.5517,40855.8372,1752.4485,18585.123,11356.8975,26936.442,1726.9104,3825.0606,8562.9465,5632.1478,24858.1962,7975.5717,8911.6506,2451.5913,358134.431,0,,,,,,,,,,
PA(17:0/20:4)-H,PA,(17:0/20:4),(17:0),(20:4),,,709.4813815,C40 H70 O8 N0 P1,1078181.752,92633.9953,17.445,34866.5595,35477.4183,12174.4185,3326517.257,31887.732,5462882.875,52626.6171,15877.0113,4620589.77,3587580.037,18857.9583,50195.241,47913.738,4513019.849,103260.4431,14276.4237,2768273.371,45064.8615,11040.9405,26429.3727,2809257.263,16097.016,100453.5432,676863.948,686500.161,0,,,,,,,,,,
PA(17:0/20:5)-H,PA,(17:0/20:5),(17:0),(20:5),,,707.4657315,C40 H68 O8 N0 P1,2870467.036,231343.6443,16.826,26829.549,33684.0759,55616.2581,9556628.163,149999.1255,90352.209,75905.7852,29641.1205,8354577.494,76927.8057,27937.0683,9574688.01,5240150.719,40776.7281,6572593.16,95332.1874,49529.1345,41936.6094,72581.4252,54930.0585,6146863.746,5833259.715,159637.8645,135525.6783,6160495.238,0,,,,,,,,,,
PA(17:0/20:5)-H,PA,(17:0/20:5),(17:0),(20:5),,,707.4657315,C40 H68 O8 N0 P1,103474.2273,61262.13304,17.101,155736.2199,32496.5514,12947.1435,51951.1824,3831.2931,30548.5383,74189.0004,23765.3361,47842.0458,29982.324,69056.7912,52964.8524,12084.4686,66168.6915,42136.2756,33565.5081,6230.5821,9210.7017,18178.1595,18143.7354,52523.4702,46086.63,306373.8198,53520.2196,1439514.134,0,,,,,,,,,,
PA(18:0/20:5)-H,PA,(18:0/20:5),(18:0),(20:5),,,721.4813815,C41 H70 O8 N0 P1,74652.82805,88322.63693,16.965,104991.948,114812.568,97459.9248,85635.741,42784.6776,134969.1894,62494.2264,47987.0214,47597.1822,86330.7069,13207.3275,41797.0365,20704.8654,55328.8491,22341.3696,22348.8906,15369.585,140157.0255,48007.8345,37615.4505,24313.0461,31472.8656,43044.5817,29614.392,464252.2815,0,,,,,,,,,,
PA(18:0/20:5)-H,PA,(18:0/20:5),(18:0),(20:5),,,721.4813815,C41 H70 O8 N0 P1,1.36E+07,474711.2986,17.528,2.36E+07,9208871.847,3750511.423,2.38E+07,1.58E+07,3.09E+07,1.43E+07,2.63E+07,1.71E+07,1.46E+07,1.34E+07,1.14E+07,1.03E+07,1.46E+07,1.04E+07,6933189.28,9417400.348,1.18E+07,1.19E+07,8372475.738,1.34E+07,1.08E+07,1.97E+07,7384869.91,7182568.673,0,,,,,,,,,,
PA(18:2/20:4)-H,PA,(18:2/20:4),(18:2),(20:4),,,719.4657315,C41 H68 O8 N0 P1,23427.27963,28905.01889,15.989,27846.0699,26968.7712,24935.8143,22015.3299,3327.2298,13960.1121,26756.4588,24810.012,13258.116,24180.4524,16350.6012,12862.2525,20341.5777,22606.0401,6306.0111,34847.7105,4084.4256,16816.4469,28786.7103,17469.7908,24872.6985,12447.5604,33693.432,17905.3572,131425.1805,0,,,,,,,,,,
PA(18:1/20:5)-H,PA,(18:1/20:5),(18:1),(20:5),,,719.4657315,C41 H68 O8 N0 P1,1.16E+07,720446.2387,16.425,1.70E+07,1.14E+07,1.57E+07,1.98E+07,1.96E+07,2.16E+07,1.28E+07,2.10E+07,1.96E+07,2.09E+07,8637884.2,2.51E+07,2639096.439,7426826.364,3676433.073,5094788.561,4690812.649,5732305.877,9357259.646,5211071.327,6714934.298,5272300.053,129060.0063,6748839.541,1.56E+07,0,,,,,,,,,,
PA(20:5/18:2)-H,PA,(20:5/18:2),(20:5),(18:2),,,717.4500815,C41 H66 O8 N0 P1,7524216.219,473752.9368,15.544,1.15E+07,6743917.263,9423110.507,1.14E+07,9365322.828,1.61E+07,8930823.49,1.38E+07,1.03E+07,26743.9461,8296498.516,1.43E+07,3060345.791,3801814.075,3193020.826,2708230.657,2720669.999,3766327.503,6340865.939,3638233.249,5991889.832,6304675.915,1.19E+07,4282895.879,8212461.212,0,,,,,,,,,,
PA(20:5/18:2)-H,PA,(20:5/18:2),(20:5),(18:2),,,717.4500815,C41 H66 O8 N0 P1,117590.9829,48987.14548,15.805,48357.3723,5869.7925,53775.2526,58295.2041,75437.5755,28615.3977,1488017.645,33138.4242,25356.378,36892.2693,13989.702,35723.6331,30308.967,17085.4452,8598.1179,21938.1267,33435.1011,6256.167,2382.3072,12439.7001,24317.121,35634.5625,40236.9177,10813.5819,963106.988,0,,,,,,,,,,
PA(20:5/18:2)-H,PA,(20:5/18:2),(20:5),(18:2),,,717.4500815,C41 H66 O8 N0 P1,2444327.676,46693.14893,15.988,16865.751,18341.7642,20755.0374,3183.1563,29022.8694,14827.3617,16696.044,32389.0215,14511.7335,6.53E+07,4492.9851,31205.0406,7409.5095,3890.5941,36439.365,58961.136,3854.5539,18807.2172,4574.7357,9370.5693,24326.3586,6235.6794,21284.4003,4369.3215,303380.088,0,,,,,,,,,,
PA(18:3/20:5)-H,PA,(18:3/20:5),(18:3),(20:5),,,715.4344315,C41 H64 O8 N0 P1,24788.71938,21421.52926,14.646,33101.49,9865.0824,3148.7496,23063.1348,13206.7989,48950.7333,13575.6303,11164.2558,47091.1362,28964.3649,6729.3687,28105.9836,2735.6886,18544.7874,8870.5746,8112.0768,11894.6769,8793.4914,8913.2046,12560.9958,5464.0659,9846.1386,16955.2413,11056.9173,205414.6266,0,,,,,,,,,,
PA(18:3/20:5)-H,PA,(18:3/20:5),(18:3),(20:5),,,715.4344315,C41 H64 O8 N0 P1,2019158.889,144333.5054,14.824,3520564.672,2288302.459,2068096.704,3753164.78,2914171.841,3321817.361,3034171.204,3205445.421,3380050.718,2309161.483,1861914.266,3070625.493,748437.877,1517088.904,1362122.251,1109675.733,1143528.97,963668.829,1247125.873,852433.601,1485339.077,773152.552,2158912.877,1022264.845,1886517.732,0,,,,,,,,,,
PA(19:1/20:4)-H,PA,(19:1/20:4),(19:1),(20:4),,,735.4970315,C42 H72 O8 N0 P1,91482.23266,40883.11533,17.868,1680899.789,18764.6901,10945.1271,38723.0148,24458.7945,7258.1355,2157.9495,34145.4627,10697.0301,17915.9085,19352.9133,116460.629,5844.0642,12730.7535,10197.8661,40533.1899,6035.0814,43468.5282,26661.7764,11100.174,12691.692,42857.5641,17529.4209,32869.1865,163435.4826,0,,,,,,,,,,
PA(19:1/20:5)-H,PA,(19:1/20:5),(19:1),(20:5),,,733.4813815,C42 H70 O8 N0 P1,221666.7382,79978.71593,17.072,86504.8959,52578.1176,59156.601,48140.6214,44628.3747,24630.5475,38935.1094,11973.363,6653.2653,27315.2415,36569.0514,33101.8035,9287.8161,26452.2132,47332.7835,42243.5742,13460.3382,29788.1427,61686.6624,113811.7641,52436.5092,69303.2739,187560.4074,25702.152,4779885.9,0,,,,,,,,,,
PA(20:5/20:5)-H,PA,(20:5/20:5),(20:5),(20:5),,,739.4344315,C43 H64 O8 N0 P1,7844233.449,556010.7811,14.382,1.74E+07,84155.361,1.16E+07,1.75E+07,1.21E+07,2.30E+07,1.35E+07,1.74E+07,39888.3651,1.41E+07,228464.9223,1.46E+07,4355411.124,4808789.081,2680412.213,3793670.933,3634525.269,106424.6541,5878630.779,3366694.447,16799.5905,4165743.287,1.06E+07,3820371.281,1.10E+07,0,,,,,,,,,,
PA(20:5/20:5)-H,PA,(20:5/20:5),(20:5),(20:5),,,739.4344315,C43 H64 O8 N0 P1,92781.0878,20020.58371,14.805,4642.3899,895261.234,17820.2877,24152.8161,10632.0084,11605.6185,9481.4106,8872.9818,25080.6708,1104789.905,15010.8447,4474.7499,4535.4861,9517.6314,3965.9028,1829.823,1925.9217,3510.3042,12438.1425,4830.4005,7434.6456,3370.752,23928.4755,15649.9458,361243.5063,0,,,,,,,,,,
PA(20:4/20:4)-H,PA,(20:4/20:4),(20:4),(20:4),,,743.4657315,C43 H68 O8 N0 P1,70983.2186,48571.67278,16.169,17559.6981,28335.5355,348653.704,362145.118,5455.5453,61937.7474,27896.8335,18003.0141,46767.7962,23537.8356,26575.8837,11107.4859,128488.265,9386.154,23471.3067,43336.4859,2789.8182,18062.1966,19145.2116,12088.9698,49227.036,14389.7088,25222.9488,66262.774,490638.7488,0,,,,,,,,,,
PA(20:5/20:4)-H,PA,(20:5/20:4),(20:5),(20:4),,,741.4500815,C43 H66 O8 N0 P1,269577.2876,54197.01037,15.023,28984.0206,64868.5014,18821.8617,4425.3096,10153.4652,19482.1581,18069.2778,61917.8568,26309.2314,34628.6736,21321.8133,35214.8943,6956.7669,10017.2925,20560.0734,9188.3679,24577.8474,8019.9141,1032483.694,5135.3355,838349.02,8430.9288,49532.205,1091243.525,2143384.451,0,,,,,,,,,,
PA(20:5/20:4)-H,PA,(20:5/20:4),(20:5),(20:4),,,741.4500815,C43 H66 O8 N0 P1,904812.2653,145364.5071,15.314,140594.811,17183.3625,20863.1148,25553.2899,47968.7001,3878691.984,36996.4977,15308.7015,62698.9074,112779.0498,35422.0107,73927.0065,116394.8916,76768.5678,12882.3717,45580.8423,4464004.382,87576.3669,2151665.389,11376.672,73696.4817,135104.6952,39157.1406,79974.8838,7762746.566,0,,,,,,,,,,
PA(20:5/22:5)-H,PA,(20:5/22:5),(20:5),(22:5),,,767.4657315,C45 H68 O8 N0 P1,1083276.953,110441.9495,14.582,1374721.164,1469667.485,1551222.815,2012912.001,1267236.241,796328.379,838436.54,1930808.808,317636.493,1.05E+07,497755.239,194993.101,172009.981,312769.432,105969.617,96634.248,721678.365,136970.403,499785.007,192790.378,421274.489,157582.74,254926.455,100844.916,1186661.603,0,,,,,,,,,,
PC(8:0e/13:0)+H,PC,(8:0e/13:0),(8:0e),(13:0),,,566.4180185,C29 H61 O7 N1 P1,2261419.195,160223.8551,13.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(16:0/13:0)+H,PC,(16:0/13:0),(16:0),(13:0),,,692.5224835,C37 H75 O8 N1 P1,1.24E+07,1265872.267,16.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(11:0/18:2)+H,PC,(11:0/18:2),(11:0),(18:2),,,688.4911835,C37 H71 O8 N1 P1,6742482.893,805659.7342,16.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/15:0)+HCOO,PC,(15:0/15:0),(15:0),(15:0),,,750.5290605,C39 H77 O10 N1 P1,4991867.372,751438.2454,16.58068985,5415829.369,2700299.086,5329695.723,5508268.19,5435323.907,8652931.45,4265268.036,9245148.888,7831349.543,7216687.024,5164056.699,6568028.455,78531.8586,4189136.987,4350342.81,4597460.938,308848.8408,2904019.846,86702.1444,4370787.481,8552635.05,6608356.237,1.42E+07,5552665.13,5426669.971,0,,,,,,,,,,
PC(15:0/15:0)+H,PC,(15:0/15:0),(15:0),(15:0),,,706.5381335,C38 H77 O8 N1 P1,6.43E+07,6167462.31,16.58068985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(16:1/14:0)+HCOO,PC,(16:1/14:0),(16:1),(14:0),,,748.5134105,C39 H75 O10 N1 P1,1230366.896,166623.5691,15.87289328,25668.0468,2681523.866,114240.3141,4499150.236,3185594.431,4218995.944,2151062.456,4314252.381,17078.0376,38805.99,2541415.907,3338355.611,230480.43,393156.859,103529.599,309312.143,364373.719,318238.716,265799.018,2028.978,495936.716,391844.901,759895.86,9506.6586,2333326.763,0,,,,,,,,,,
PC(16:1/14:0)+H,PC,(16:1/14:0),(16:1),(14:0),,,704.5224835,C38 H75 O8 N1 P1,1.46E+07,1386920.399,15.87289328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/16:0)+H,PC,(15:0/16:0),(15:0),(16:0),,,720.5537835,C39 H79 O8 N1 P1,4.70E+07,5843622.001,17.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/16:1)+H,PC,(15:0/16:1),(15:0),(16:1),,,718.5381335,C39 H77 O8 N1 P1,8896481.494,1536127.889,16.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/16:1)+H,PC,(15:0/16:1),(15:0),(16:1),,,718.5381335,C39 H77 O8 N1 P1,4.31E+07,4745128.467,16.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/16:1)+H,PC,(15:0/16:1),(15:0),(16:1),,,718.5381335,C39 H77 O8 N1 P1,514217.0581,175204.4565,17.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(18:2/13:0)+HCOO,PC,(18:2/13:0),(18:2),(13:0),,,760.5134105,C40 H75 O10 N1 P1,27479.29578,28720.4747,15.369,19146.306,25638.33,12427.2186,45734.9088,15286.2747,76416.9717,23136.9465,37214.9469,25149.3054,34640.0283,12467.3736,19219.2066,7582.6188,8033.2098,10615.3701,21328.2675,2158.6257,5398.9656,1412.097,18351.3237,24314.5995,61251.382,9472.4298,37986.0549,146466.036,0,,,,,,,,,,
PC(11:0/20:2)+H,PC,(11:0/20:2),(11:0),(20:2),,,716.5224835,C39 H75 O8 N1 P1,3414954.235,360156.9816,15.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(16:0/16:0)+H,PC,(16:0/16:0),(16:0),(16:0),,,734.5694335,C40 H81 O8 N1 P1,2.44E+08,2.61E+07,17.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(16:0/16:0)+H,PC,(16:0/16:0),(16:0),(16:0),,,734.5694335,C40 H81 O8 N1 P1,1.89E+07,2521261.908,17.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(17:1/15:0)+HCOO,PC,(17:1/15:0),(17:1),(15:0),,,776.5447105,C41 H79 O10 N1 P1,4.32E+07,4701149.928,16.99096465,7.00E+07,5.22E+07,5.05E+07,7.87E+07,5.82E+07,8.75E+07,4.27E+07,7.48E+07,6.06E+07,5.71E+07,4.60E+07,4.62E+07,2.00E+07,3.25E+07,2.39E+07,2.47E+07,2.93E+07,2.85E+07,2.80E+07,1.82E+07,2.75E+07,2.39E+07,5.42E+07,2.44E+07,6.24E+07,35353.203,,,,,,,,,,
PC(17:1/15:0)+H,PC,(17:1/15:0),(17:1),(15:0),,,732.5537835,C40 H79 O8 N1 P1,4.86E+08,4.48E+07,16.99096465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(16:0/16:1)+H,PC,(16:0/16:1),(16:0),(16:1),,,732.5537835,C40 H79 O8 N1 P1,328635.5282,314310.6002,17.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(14:0/18:2)+HCOO,PC,(14:0/18:2),(14:0),(18:2),,,774.5290605,C41 H77 O10 N1 P1,9183723.075,895281.3569,16.1544594,2.68E+07,2.02E+07,1.16E+07,27817.0875,2.24E+07,30076.2,32106.879,3.00E+07,2.11E+07,1.62E+07,1.74E+07,2.37E+07,1751241.243,2453637.7,1071330.366,2595462.726,3787639.485,1413383.097,5022824.949,2175774.292,4928714.438,2523693.92,7688941.899,1737989.547,1.77E+07,0,,,,,,,,,,
PC(14:0/18:2)+H,PC,(14:0/18:2),(14:0),(18:2),,,730.5381335,C40 H77 O8 N1 P1,9.16E+07,7651018.572,16.1544594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(14:0/18:2)+HCOO,PC,(14:0/18:2),(14:0),(18:2),,,774.5290605,C41 H77 O10 N1 P1,884870.7283,181434.6812,16.3827374,328036.1325,138967.5618,31987.6281,255285.5769,2903069.281,7422363.052,25518.045,167283.8217,61173.6645,6316401.1,97794.906,125387.2461,12320.955,8198.8047,54994.917,24855.0927,9911.1135,17914.4295,1305.5025,12808.3818,193377.693,6700.5645,164239.993,11461.4637,3413486.185,0,,,,,,,,,,
PC(14:0/18:2)+H,PC,(14:0/18:2),(14:0),(18:2),,,730.5381335,C40 H77 O8 N1 P1,2.84E+07,3550832.956,16.3827374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(10:0/22:3)+H,PC,(10:0/22:3),(10:0),(22:3),,,728.5224835,C40 H75 O8 N1 P1,173964.6149,141547.9236,15.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(14:0/18:3)+HCOO,PC,(14:0/18:3),(14:0),(18:3),,,772.5134105,C41 H75 O10 N1 P1,805942.1689,72095.23974,15.51124825,7075436.696,19815.6987,4919352.687,72163.7856,5014785.446,42301.1283,14310.0942,128682.5808,35337.4386,36187.6941,18079.1952,42974.2887,18473.4465,23987.277,1415032.472,1241774.41,25209.1719,9741.8535,47138.346,21931.0722,24571.3692,17862.7542,27826.8708,14803.57,368863.9005,0,,,,,,,,,,
PC(14:0/18:3)+H,PC,(14:0/18:3),(14:0),(18:3),,,728.5224835,C40 H75 O8 N1 P1,1.20E+07,1033698.705,15.51124825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(18:0/15:0)+HCOO,PC,(18:0/15:0),(18:0),(15:0),,,792.5760105,C42 H83 O10 N1 P1,2.08E+07,2235723.429,18.30287025,2.39E+07,1.89E+07,1.96E+07,2.97E+07,2.17E+07,3.02E+07,1.59E+07,2.96E+07,2.23E+07,2.26E+07,1.60E+07,2.19E+07,1.59E+07,2.10E+07,1.57E+07,1.72E+07,1.91E+07,1.77E+07,2.25E+07,1.62E+07,2.35E+07,1.85E+07,4.04E+07,1.71E+07,2.28E+07,0,,,,,,,,,,
PC(18:0/15:0)+H,PC,(18:0/15:0),(18:0),(15:0),,,748.5850835,C41 H83 O8 N1 P1,1.95E+08,2.04E+07,18.30287025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/18:1)+HCOO,PC,(15:0/18:1),(15:0),(18:1),,,790.5603605,C42 H81 O10 N1 P1,6.15E+07,5718143.194,17.33503924,1.01E+08,7.81E+07,8.69E+07,1.28E+08,9.25E+07,1.28E+08,6.87E+07,1.20E+08,9.13E+07,9.26E+07,6.76E+07,9.16E+07,2.37E+07,3.11E+07,2.56E+07,2.34E+07,3.22E+07,2.81E+07,3.24E+07,2.18E+07,3.60E+07,2.78E+07,6.07E+07,2.50E+07,8.00E+07,0.001,,,,,,,,,,
PC(15:0/18:1)+H,PC,(15:0/18:1),(15:0),(18:1),,,746.5694335,C41 H81 O8 N1 P1,4.48E+08,4.06E+07,17.33503924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(17:1/16:0)+HCOO,PC,(17:1/16:0),(17:1),(16:0),,,790.5603605,C42 H81 O10 N1 P1,1.56E+07,1719659.464,17.68133038,3.31E+07,2.10E+07,2.17E+07,3.38E+07,2.35E+07,3.75E+07,1.99E+07,3.42E+07,2.46E+07,2.63E+07,1.94E+07,2.81E+07,5011678.846,6233935.628,4435483.415,4199000.236,5123875.999,6188027.033,4924255.286,3084781.431,4825212.858,5771597.107,9864436.7,3176475.12,2.14E+07,863.7288,,,,,,,,,,
PC(17:1/16:0)+H,PC,(17:1/16:0),(17:1),(16:0),,,746.5694335,C41 H81 O8 N1 P1,1.57E+08,1.69E+07,17.68133038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/18:2)+HCOO,PC,(15:0/18:2),(15:0),(18:2),,,788.5447105,C42 H79 O10 N1 P1,6.09E+07,6394118.164,16.54545634,7.98E+07,6.28E+07,7.16E+07,1.02E+08,7.19E+07,1.00E+08,6.85E+07,1.21E+08,9.21E+07,1.26E+08,7.63E+07,9.49E+07,1.62E+07,2.36E+07,1.75E+07,2.02E+07,1.84E+07,1.66E+07,4.55E+07,2.99E+07,5.14E+07,3.97E+07,8.70E+07,3.33E+07,1.09E+08,0,,,,,,,,,,
PC(15:0/18:2)+H,PC,(15:0/18:2),(15:0),(18:2),,,744.5537835,C41 H79 O8 N1 P1,3.82E+08,4.32E+07,16.54545634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/18:2)+H,PC,(15:0/18:2),(15:0),(18:2),,,744.5537835,C41 H79 O8 N1 P1,3.08E+08,3.10E+07,16.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(15:0/18:3)+HCOO,PC,(15:0/18:3),(15:0),(18:3),,,786.5290605,C42 H77 O10 N1 P1,1.72E+07,1320375.202,15.93494513,2.83E+07,2.04E+07,2.26E+07,3.33E+07,2.40E+07,3.63E+07,1.81E+07,3.40E+07,2.62E+07,2.64E+07,2.17E+07,2.76E+07,5706540.004,7974402.194,7398803.108,7109448.407,8283182.495,7459051.091,7941896.245,5480598.603,9569776.178,7345880.659,1.52E+07,6837763.429,3.35E+07,0,,,,,,,,,,
PC(15:0/18:3)+H,PC,(15:0/18:3),(15:0),(18:3),,,742.5381335,C41 H77 O8 N1 P1,1.39E+08,8082453.65,15.93494513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
PC(18:4/15:0)+HCOO,PC,(18:4/15:0),(18:4),(15:0),,,784.5134105,C42 H75 O10 N1 P1,76821.3042,81118.05178,15.17473596,64453.188,47361.9282,120921.9444,243483.7638,100218.2616,166492.3932,113043.804,178754.7018,97356.8049,155870.4423,210158.4555,144382.5891,16047.2028,13979.9157,18938.4852,30405.94,383.3688,20654.8497,7596.378,8917.4901,12572.0067,23482.1493,39329.9049,15915.964,60692.907,0,,,,,,,,,,
